FG.name,Ligand,Cluster,AA.property,Atom.property,Size,Size.scaled,Reuse.Atom,Reuse.Residue,Reuse.All,Reuse.pvalue
"1,2-dihydroxybenzene",QUE,cluster1,"[0.0033112582781456954, 0.0, 0.019867549668874173, 0.08609271523178808, 0.1390728476821192, 0.029801324503311258, 0.16225165562913907, 0.09602649006622517, 0.009933774834437087, 0.013245033112582781, 0.0033112582781456954, 0.023178807947019868, 0.023178807947019868, 0.029801324503311258, 0.016556291390728478, 0.09271523178807947, 0.09602649006622517, 0.09933774834437085, 0.026490066225165563, 0.029801324503311258]","[0.1111111111111111, 0.06397306397306397, 0.09090909090909091, 0.3434343434343434, 0.2727272727272727, 0.11784511784511785, 0.0]",14.38095238,0.335887404,NA,NA,NA,NA
"1,3-dihydroxy-5-ethenylbenzene",STL,cluster2,"[0.0, 0.0, 0.0502283105022831, 0.0593607305936073, 0.0958904109589041, 0.0410958904109589, 0.1917808219178082, 0.0684931506849315, 0.0136986301369863, 0.0410958904109589, 0.0136986301369863, 0.0502283105022831, 0.0730593607305936, 0.0091324200913242, 0.0410958904109589, 0.0273972602739726, 0.0228310502283105, 0.0410958904109589, 0.0547945205479452, 0.1050228310502283]","[0.06944444444444445, 0.06944444444444445, 0.08333333333333333, 0.3333333333333333, 0.3287037037037037, 0.11574074074074074, 0.0]",13.6875,0.316956864,NA,NA,NA,NA
1-formyl-piperidine--2-carboxamide-5-amino,NXL,cluster2,"[0.0, 0.0, 0.0, 0.025974025974025976, 0.07142857142857142, 0.025974025974025976, 0.012987012987012988, 0.12337662337662338, 0.12987012987012986, 0.17532467532467533, 0.01948051948051948, 0.03896103896103896, 0.01948051948051948, 0.05844155844155844, 0.05844155844155844, 0.0, 0.09090909090909091, 0.08441558441558442, 0.0, 0.06493506493506493]","[0.10526315789473684, 0.125, 0.17763157894736842, 0.1513157894736842, 0.25, 0.19078947368421054, 0.0]",15.4,0.363706361,NA,NA,NA,NA
"2,3-Dideoxyribose",DCT,cluster2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12, 0.42, 0.06, 0.07, 0.0, 0.0, 0.01, 0.02, 0.03, 0.03, 0.14, 0.0, 0.1, 0.0]","[0.14, 0.07, 0.13, 0.04, 0.54, 0.08, 0.0]",11.11111111,0.246624085,NA,NA,NA,NA
"2,3-dihydroxypropionate",MPG,cluster1,"[0.0, 0.0, 0.038461538461538464, 0.07692307692307693, 0.15384615384615385, 0.19230769230769232, 0.038461538461538464, 0.38461538461538464, 0.0, 0.0, 0.0, 0.11538461538461539, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.08, 0.0, 0.0, 0.48, 0.36, 0.08, 0.0]",8.666666667,0.179893254,NA,NA,NA,NA
"2,6,6-Trimethyl-1-cyclohexene",REA,cluster3,"[0.0, 0.0, 0.0, 0.10810810810810811, 0.16216216216216217, 0.11891891891891893, 0.2648648648648649, 0.032432432432432434, 0.08108108108108109, 0.0, 0.010810810810810811, 0.043243243243243246, 0.032432432432432434, 0.005405405405405406, 0.043243243243243246, 0.005405405405405406, 0.005405405405405406, 0.0, 0.04864864864864865, 0.03783783783783784]","[0.03296703296703297, 0.016483516483516484, 0.06593406593406594, 0.44505494505494503, 0.37362637362637363, 0.06593406593406594, 0.0]",18.5,0.448333188,NA,NA,NA,NA
2-Deoxy-D-Galactose,A2G,cluster2,"[0.0, 0.0, 0.0045045045045045045, 0.0045045045045045045, 0.013513513513513514, 0.013513513513513514, 0.06756756756756757, 0.22522522522522523, 0.16216216216216217, 0.02702702702702703, 0.0045045045045045045, 0.01126126126126126, 0.009009009009009009, 0.0045045045045045045, 0.07882882882882883, 0.14189189189189189, 0.0518018018018018, 0.018018018018018018, 0.11036036036036036, 0.0518018018018018]","[0.12641083521444696, 0.10158013544018059, 0.14221218961625282, 0.09932279909706546, 0.39954853273137697, 0.1309255079006772, 0.0]",18.5,0.448333188,NA,NA,NA,NA
2-Deoxy-D-Glucose,NAG,cluster2,"[0.0, 0.0, 0.008264462809917356, 0.01756198347107438, 0.04132231404958678, 0.011363636363636364, 0.08057851239669421, 0.08987603305785125, 0.26239669421487605, 0.05268595041322314, 0.007231404958677686, 0.012396694214876033, 0.009297520661157025, 0.005165289256198347, 0.024793388429752067, 0.10640495867768596, 0.1012396694214876, 0.022727272727272728, 0.09710743801652892, 0.049586776859504134]","[0.12876427829698858, 0.08722741433021806, 0.13811007268951195, 0.15991692627206647, 0.34787123572170303, 0.13811007268951195, 0.0]",14.89230769,0.349846881,0.965605896,0.632055079,0.871099411,1.64E-09
2-Deoxy-D-Glucose,NDG,cluster2,"[0.0, 0.0, 0.0, 0.017241379310344827, 0.011494252873563218, 0.034482758620689655, 0.011494252873563218, 0.1724137931034483, 0.16091954022988506, 0.06896551724137931, 0.0, 0.0, 0.011494252873563218, 0.005747126436781609, 0.034482758620689655, 0.040229885057471264, 0.08620689655172414, 0.022988505747126436, 0.10344827586206896, 0.21839080459770116]","[0.10919540229885058, 0.1206896551724138, 0.14942528735632185, 0.14367816091954022, 0.367816091954023, 0.10919540229885058, 0.0]",12.42857143,0.282589403,0.965605896,0.632055079,0.871099411,1.64E-09
2-Deoxyribose,DGT,cluster2,"[0.0, 0.0, 0.0, 0.09722222222222222, 0.0787037037037037, 0.027777777777777776, 0.08333333333333333, 0.3472222222222222, 0.0, 0.05092592592592592, 0.0, 0.013888888888888888, 0.06944444444444445, 0.013888888888888888, 0.037037037037037035, 0.023148148148148147, 0.023148148148148147, 0.009259259259259259, 0.08333333333333333, 0.041666666666666664]","[0.115, 0.045, 0.105, 0.285, 0.395, 0.055, 0.0]",7.2,0.139854755,0.757422307,0.616776215,0.746901743,0.000434918
